A,1,AA,27,BA,53,CA,79,DA,105,EA,131,FA,157,GA,183,HA,209,IA,235,JA,261,KA,287,LA,313,MA,339,NA,365,OA,391,PA,417,QA,443,RA,469,SA,495,TA,521,UA,547,VA,573,WA,599,XA,625,YA,651,ZA,677
B,2,AB,28,BB,54,CB,80,DB,106,EB,132,FB,158,GB,184,HB,210,IB,236,JB,262,KB,288,LB,314,MB,340,NB,366,OB,392,PB,418,QB,444,RB,470,SB,496,TB,522,UB,548,VB,574,WB,600,XB,626,YB,652,ZB,678
C,3,AC,29,BC,55,CC,81,DC,107,EC,133,FC,159,GC,185,HC,211,IC,237,JC,263,KC,289,LC,315,MC,341,NC,367,OC,393,PC,419,QC,445,RC,471,SC,497,TC,523,UC,549,VC,575,WC,601,XC,627,YC,653,ZC,679
D,4,AD,30,BD,56,CD,82,DD,108,ED,134,FD,160,GD,186,HD,212,ID,238,JD,264,KD,290,LD,316,MD,342,ND,368,OD,394,PD,420,QD,446,RD,472,SD,498,TD,524,UD,550,VD,576,WD,602,XD,628,YD,654,ZD,680
E,5,AE,31,BE,57,CE,83,DE,109,EE,135,FE,161,GE,187,HE,213,IE,239,JE,265,KE,291,LE,317,ME,343,NE,369,OE,395,PE,421,QE,447,RE,473,SE,499,TE,525,UE,551,VE,577,WE,603,XE,629,YE,655,ZE,681
F,6,AF,32,BF,58,CF,84,DF,110,EF,136,FF,162,GF,188,HF,214,IF,240,JF,266,KF,292,LF,318,MF,344,NF,370,OF,396,PF,422,QF,448,RF,474,SF,500,TF,526,UF,552,VF,578,WF,604,XF,630,YF,656,ZF,682
G,7,AG,33,BG,59,CG,85,DG,111,EG,137,FG,163,GG,189,HG,215,IG,241,JG,267,KG,293,LG,319,MG,345,NG,371,OG,397,PG,423,QG,449,RG,475,SG,501,TG,527,UG,553,VG,579,WG,605,XG,631,YG,657,ZG,683
H,8,AH,34,BH,60,CH,86,DH,112,EH,138,FH,164,GH,190,HH,216,IH,242,JH,268,KH,294,LH,320,MH,346,NH,372,OH,398,PH,424,QH,450,RH,476,SH,502,TH,528,UH,554,VH,580,WH,606,XH,632,YH,658,ZH,684
I,9,AI,35,BI,61,CI,87,DI,113,EI,139,FI,165,GI,191,HI,217,II,243,JI,269,KI,295,LI,321,MI,347,NI,373,OI,399,PI,425,QI,451,RI,477,SI,503,TI,529,UI,555,VI,581,WI,607,XI,633,YI,659,ZI,685
J,10,AJ,36,BJ,62,CJ,88,DJ,114,EJ,140,FJ,166,GJ,192,HJ,218,IJ,244,JJ,270,KJ,296,LJ,322,MJ,348,NJ,374,OJ,400,PJ,426,QJ,452,RJ,478,SJ,504,TJ,530,UJ,556,VJ,582,WJ,608,XJ,634,YJ,660,ZJ,686
K,11,AK,37,BK,63,CK,89,DK,115,EK,141,FK,167,GK,193,HK,219,IK,245,JK,271,KK,297,LK,323,MK,349,NK,375,OK,401,PK,427,QK,453,RK,479,SK,505,TK,531,UK,557,VK,583,WK,609,XK,635,YK,661,ZK,687
